Variable,Title,Description,Slide,Category
{{Customer}},Customer Name (alt token),Customer organization / tenant name,1,General
{{AI_AGENTS_COUNT}},AI Agents Discovered,Active AI Agent entities,3,AI Footprint
{{AI_CA_COUNT}},AI Coding Agents (IDEs),Developer IDEs with AI assistants,3,AI Footprint
{{AI_CODE_REPOS_COUNT}},AI Code Repositories,VCS repositories using AI technologies,3,AI Footprint
{{AI_DATASETS_COUNT}},AI Datasets Discovered,AI Datastores / Training sets,3,AI Footprint
{{AI_GUARDRAILS_COUNT}},AI Guardrails Discovered,Active AI Guardrail entities,3,AI Footprint
{{AI_MCP_SERVERS_COUNT}},MCP Servers Discovered,Model Context Protocol servers,3,AI Footprint
{{AI_MODELS_COUNT}},AI Models Discovered,Active AI Model entities,3,AI Footprint
{{AI_PIPELINES_COUNT}},AI Pipelines Discovered,Active AI Pipelines,3,AI Footprint
{{AI_TECHNOLOGIES_COUNT}},AI Technologies Count,"AI libraries & frameworks (PyTorch, TensorFlow, etc.)",3,AI Footprint
{{AI_WORKLOADS_COUNT}},AI Running Workloads,Workloads executing AI models or pipelines,3,AI Footprint
{{CON_TOT}},Total Connected Connectors,Total connectors across all types,3,Cloud Architecture
{{C_AWS}},AWS Accounts Count,Total connected AWS accounts,3,Cloud Architecture
{{C_AZ}},Azure Subscriptions Count,Total connected Azure subscriptions,3,Cloud Architecture
{{C_GCP}},GCP Projects Count,Total connected GCP projects,3,Cloud Architecture
{{C_OTH}},Other Cloud Accounts Count,"OCI, Alibaba, etc.",3,Cloud Architecture
{{C_OTH_NAMES}},Other Cloud Provider Names,Names of other cloud providers,3,Cloud Architecture
{{CE_1}},Cloud Event Count #1,Matched event count for the #1 cloud-event origin,3,Cloud Events
{{CE_10}},Cloud Event Count #10,Matched event count for the #10 cloud-event origin,3,Cloud Events
{{CE_11}},Cloud Event Count #11,Matched event count for the #11 cloud-event origin,3,Cloud Events
{{CE_12}},Cloud Event Count #12,Matched event count for the #12 cloud-event origin,3,Cloud Events
{{CE_13}},Cloud Event Count #13,Matched event count for the #13 cloud-event origin,3,Cloud Events
{{CE_2}},Cloud Event Count #2,Matched event count for the #2 cloud-event origin,3,Cloud Events
{{CE_3}},Cloud Event Count #3,Matched event count for the #3 cloud-event origin,3,Cloud Events
{{CE_4}},Cloud Event Count #4,Matched event count for the #4 cloud-event origin,3,Cloud Events
{{CE_5}},Cloud Event Count #5,Matched event count for the #5 cloud-event origin,3,Cloud Events
{{CE_6}},Cloud Event Count #6,Matched event count for the #6 cloud-event origin,3,Cloud Events
{{CE_7}},Cloud Event Count #7,Matched event count for the #7 cloud-event origin,3,Cloud Events
{{CE_8}},Cloud Event Count #8,Matched event count for the #8 cloud-event origin,3,Cloud Events
{{CE_9}},Cloud Event Count #9,Matched event count for the #9 cloud-event origin,3,Cloud Events
{{CLOUD_EVENTS_1}},Cloud Event Origin #1,Display name of the #1 cloud-event origin by volume,3,Cloud Events
{{CLOUD_EVENTS_10}},Cloud Event Origin #10,Display name of the #10 cloud-event origin by volume,3,Cloud Events
{{CLOUD_EVENTS_11}},Cloud Event Origin #11,Display name of the #11 cloud-event origin by volume,3,Cloud Events
{{CLOUD_EVENTS_12}},Cloud Event Origin #12,Display name of the #12 cloud-event origin by volume,3,Cloud Events
{{CLOUD_EVENTS_13}},Cloud Event Origin #13,Display name of the #13 cloud-event origin by volume,3,Cloud Events
{{CLOUD_EVENTS_2}},Cloud Event Origin #2,Display name of the #2 cloud-event origin by volume,3,Cloud Events
{{CLOUD_EVENTS_3}},Cloud Event Origin #3,Display name of the #3 cloud-event origin by volume,3,Cloud Events
{{CLOUD_EVENTS_4}},Cloud Event Origin #4,Display name of the #4 cloud-event origin by volume,3,Cloud Events
{{CLOUD_EVENTS_5}},Cloud Event Origin #5,Display name of the #5 cloud-event origin by volume,3,Cloud Events
{{CLOUD_EVENTS_6}},Cloud Event Origin #6,Display name of the #6 cloud-event origin by volume,3,Cloud Events
{{CLOUD_EVENTS_7}},Cloud Event Origin #7,Display name of the #7 cloud-event origin by volume,3,Cloud Events
{{CLOUD_EVENTS_8}},Cloud Event Origin #8,Display name of the #8 cloud-event origin by volume,3,Cloud Events
{{CLOUD_EVENTS_9}},Cloud Event Origin #9,Display name of the #9 cloud-event origin by volume,3,Cloud Events
{{CON_K8S}},Kubernetes Connectors Count,Installed K8s connectors,3,Connectors & Agents
{{CON_R}},Registry Connectors Count,Active container registry connectors,3,Connectors & Agents
{{CON_VCS}},VCS Connectors Count,"GitHub, GitLab, Bitbucket connectors",3,Connectors & Agents
{{CON_WOS}},Wiz Sensor Workloads,Workloads with Wiz Runtime Sensor installed,3,Connectors & Agents
{{L_SE}},Wiz Runtime Sensors,Active Wiz Runtime Sensor instances,"3, 4",Connectors & Agents
{{CON_BRO}},Connectors - Errored,Connectors in an error/broken state,3,Metrics
{{CON_DIS}},Connectors - Disabled,Connectors currently disabled,3,Metrics
{{CON_EN}},Connectors - Connected,Connectors in a healthy connected state,3,Metrics
{{CON_NE}},Connectors - No Cloud Events,Connectors not ingesting cloud events,3,Metrics
{{CON_WE}},Connectors - With Cloud Events,Connectors ingesting cloud events,3,Metrics
{{OUT_DEP}},Outpost Deployments,Total Wiz Outpost deployments,3,Metrics
{{K8S}},Kubernetes Clusters Count,Total managed & self-hosted K8s clusters,"3, 4",Workload Inventory
{{R_TOT}},Container Registries Count,"ECR, ACR, GCR, GAR registries","3, 4",Workload Inventory
{{SERVERLESS_CT_COUNT}},Serverless Containers Count,"Fargate, Cloud Run container instances",3,Workload Inventory
{{SERVERLESS_FN_COUNT}},Serverless Functions Count,"Lambda, Azure Functions, Cloud Run",3,Workload Inventory
{{CLI}},Wiz CLI Scans (30d),CI/CD (Wiz CLI) scans in the last 30 days,4,Metrics
{{CL_ASMP}},Cloud Advanced - Advanced ASM %,Advanced ASM enabled (100) or not (0),4,Metrics
{{CL_CP}},Cloud Advanced - Compute %,Compute workload scanning coverage (slide-4 adoption),4,Metrics
{{CL_DP}},Cloud Advanced - Data %,DSPM data scanning coverage (slide-4 adoption),4,Metrics
{{CL_NRVP}},Cloud Advanced - Non-OS/Registry/VM Image %,Combined non-OS/registry/VM image scan coverage,4,Metrics
{{CL_REDA}},Cloud Advanced - Red Agent %,Red Agent enabled (100) or not (0),4,Metrics
{{CL_SUP}},Cloud Advanced - SaaS Users %,SaaS security scanner enabled (100) or not (0),4,Metrics
{{CL_UVMP}},Cloud Advanced - Unified Vuln Mgmt %,Share of vulnerability-assessment detections enabled,4,Metrics
{{CL_WOP}},Cloud Advanced - WizOS %,WizOS workloads as a percent of compute workloads,4,Metrics
{{CONTRACT_END_FMT}},Contract End Date (formatted),"Current contract end date, MM/DD/YYYY",4,Metrics
{{CUS_NOD}},Days as Wiz Customer,Days since the tenant was created,4,Metrics
{{D_U_R}},Days Until Renewal,Days remaining until contract renewal,4,Metrics
{{RA_DAST}},Red Agent - DAST Attacker Findings,Open DAST Attacker findings from Red Agent,4,Metrics
{{RA_SI}},Red Agent - Secret Impact Findings,Open Secret Impact (blast radius) findings from Red Agent,4,Metrics
{{RA_TOTS}},Red Agent - Total Monthly Scans,Total Red Agent scans per month,4,Metrics
{{RA_WC}},Red Agent - Web Crawler Endpoints,AI-generated API endpoints found by the Red Agent web crawler,4,Metrics
{{TI}},Total Container Images,Total container images discovered,"4, 15",Metrics
