Category,Variable,Title,Value,Slide,Description
General,{{Customer}},Customer Name (alt token),Example Corp,1,Customer organization / tenant name
AI Footprint,{{AI_AGENTS_COUNT}},AI Agents Discovered,250,3,Active AI Agent entities
AI Footprint,{{AI_CA_COUNT}},AI Coding Agents (IDEs),50,3,Developer IDEs with AI assistants
AI Footprint,{{AI_CODE_REPOS_COUNT}},AI Code Repositories,50,3,VCS repositories using AI technologies
AI Footprint,{{AI_DATASETS_COUNT}},AI Datasets Discovered,250,3,AI Datastores / Training sets
AI Footprint,{{AI_GUARDRAILS_COUNT}},AI Guardrails Discovered,250,3,Active AI Guardrail entities
AI Footprint,{{AI_MCP_SERVERS_COUNT}},MCP Servers Discovered,1500,3,Model Context Protocol servers
AI Footprint,{{AI_MODELS_COUNT}},AI Models Discovered,1500,3,Active AI Model entities
AI Footprint,{{AI_PIPELINES_COUNT}},AI Pipelines Discovered,50,3,Active AI Pipelines
AI Footprint,{{AI_TECHNOLOGIES_COUNT}},AI Technologies Count,250,3,"AI libraries & frameworks (PyTorch, TensorFlow, etc.)"
AI Footprint,{{AI_WORKLOADS_COUNT}},AI Running Workloads,250,3,Workloads executing AI models or pipelines
Cloud Architecture,{{CON_TOT}},Total Connected Connectors,250,3,Total connectors across all types
Cloud Architecture,{{C_AWS}},AWS Accounts Count,250,3,Total connected AWS accounts
Cloud Architecture,{{C_AZ}},Azure Subscriptions Count,50,3,Total connected Azure subscriptions
Cloud Architecture,{{C_GCP}},GCP Projects Count,50,3,Total connected GCP projects
Cloud Architecture,{{C_OTH}},Other Cloud Accounts Count,50,3,"OCI, Alibaba, etc."
Cloud Architecture,{{C_OTH_NAMES}},Other Cloud Provider Names,"OCI, Kubernetes, Terraform, SelfHosted, Cloudflare, Linode",3,Names of other cloud providers
Cloud Events,{{CE_1}},Cloud Event Count #1,1200000,3,Matched event count for the #1 cloud-event origin
Cloud Events,{{CE_10}},Cloud Event Count #10,12000,3,Matched event count for the #10 cloud-event origin
Cloud Events,{{CE_11}},Cloud Event Count #11,12000,3,Matched event count for the #11 cloud-event origin
Cloud Events,{{CE_12}},Cloud Event Count #12,12000,3,Matched event count for the #12 cloud-event origin
Cloud Events,{{CE_13}},Cloud Event Count #13,12000,3,Matched event count for the #13 cloud-event origin
Cloud Events,{{CE_2}},Cloud Event Count #2,1200000,3,Matched event count for the #2 cloud-event origin
Cloud Events,{{CE_3}},Cloud Event Count #3,1200000,3,Matched event count for the #3 cloud-event origin
Cloud Events,{{CE_4}},Cloud Event Count #4,1200000,3,Matched event count for the #4 cloud-event origin
Cloud Events,{{CE_5}},Cloud Event Count #5,1200000,3,Matched event count for the #5 cloud-event origin
Cloud Events,{{CE_6}},Cloud Event Count #6,1200000,3,Matched event count for the #6 cloud-event origin
Cloud Events,{{CE_7}},Cloud Event Count #7,120000,3,Matched event count for the #7 cloud-event origin
Cloud Events,{{CE_8}},Cloud Event Count #8,120000,3,Matched event count for the #8 cloud-event origin
Cloud Events,{{CE_9}},Cloud Event Count #9,120000,3,Matched event count for the #9 cloud-event origin
Cloud Events,{{CLOUD_EVENTS_1}},Cloud Event Origin #1,AWS_EKS_AUDIT_LOGS,3,Display name of the #1 cloud-event origin by volume
Cloud Events,{{CLOUD_EVENTS_10}},Cloud Event Origin #10,WIZ_SENSOR_TLS_ACTIVITY,3,Display name of the #10 cloud-event origin by volume
Cloud Events,{{CLOUD_EVENTS_11}},Cloud Event Origin #11,AWS_RESOLVER_QUERY_LOGS,3,Display name of the #11 cloud-event origin by volume
Cloud Events,{{CLOUD_EVENTS_12}},Cloud Event Origin #12,WIZ_WORKLOAD_SSH_LOGS,3,Display name of the #12 cloud-event origin by volume
Cloud Events,{{CLOUD_EVENTS_13}},Cloud Event Origin #13,WIZ_SENSOR,3,Display name of the #13 cloud-event origin by volume
Cloud Events,{{CLOUD_EVENTS_2}},Cloud Event Origin #2,AWS_CLOUDTRAIL,3,Display name of the #2 cloud-event origin by volume
Cloud Events,{{CLOUD_EVENTS_3}},Cloud Event Origin #3,WIZ_SENSOR_RUNTIME_EVENTS,3,Display name of the #3 cloud-event origin by volume
Cloud Events,{{CLOUD_EVENTS_4}},Cloud Event Origin #4,AWS_VPC_FLOW_LOGS,3,Display name of the #4 cloud-event origin by volume
Cloud Events,{{CLOUD_EVENTS_5}},Cloud Event Origin #5,WIZ_AUDIT_LOGS,3,Display name of the #5 cloud-event origin by volume
Cloud Events,{{CLOUD_EVENTS_6}},Cloud Event Origin #6,GCP_GKE_AUDIT_LOGS,3,Display name of the #6 cloud-event origin by volume
Cloud Events,{{CLOUD_EVENTS_7}},Cloud Event Origin #7,GCP_VPC_FLOW_LOGS,3,Display name of the #7 cloud-event origin by volume
Cloud Events,{{CLOUD_EVENTS_8}},Cloud Event Origin #8,AWS_S3_DATA_EVENTS,3,Display name of the #8 cloud-event origin by volume
Cloud Events,{{CLOUD_EVENTS_9}},Cloud Event Origin #9,GCP_AUDIT_LOGS,3,Display name of the #9 cloud-event origin by volume
Connectors & Agents,{{CON_K8S}},Kubernetes Connectors Count,250,3,Installed K8s connectors
Connectors & Agents,{{CON_R}},Registry Connectors Count,250,3,Active container registry connectors
Connectors & Agents,{{CON_ADM}},Admission Controllers Count,50,3,Wiz admission controller deployments
Connectors & Agents,{{CON_VCS}},VCS Connectors Count,250,3,"GitHub, GitLab, Bitbucket connectors"
Connectors & Agents,{{CON_WOS}},Wiz Sensor Workloads,Not available via MCP,3,Workloads with Wiz Runtime Sensor installed
Connectors & Agents,{{L_SE}},Wiz Runtime Sensors,Not available via MCP,"3, 4",Active Wiz Runtime Sensor instances
Metrics,{{CON_BRO}},Connectors - Errored,50,3,Connectors in an error/broken state
Metrics,{{CON_DIS}},Connectors - Disabled,5,3,Connectors currently disabled
Metrics,{{CON_EN}},Connectors - Connected,250,3,Connectors enabled (enable-state; MCP exposes no connection-health)
Metrics,{{CON_NE}},Connectors - No Cloud Events,Not available via MCP,3,Connectors not ingesting cloud events
Metrics,{{CON_WE}},Connectors - With Cloud Events,Not available via MCP,3,Connectors ingesting cloud events
Metrics,{{OUT_DEP}},Outpost Deployments,250,3,Total Wiz Outpost deployments
Workload Inventory,{{K8S}},Kubernetes Clusters Count,250,"3, 4",Total managed & self-hosted K8s clusters
Workload Inventory,{{R_TOT}},Container Registries Count,250,"3, 4","ECR, ACR, GCR, GAR registries"
Workload Inventory,{{CH_TOT}},Container Hosts,250,3,Average billable container hosts (license page)
Workload Inventory,{{SERVERLESS_CT_COUNT}},Serverless Containers Count,1500,3,"Fargate, Cloud Run container instances"
Workload Inventory,{{SERVERLESS_FN_COUNT}},Serverless Functions Count,250,3,"Lambda, Azure Functions, Cloud Run"
Metrics,{{CLI}},Wiz CLI Scans (30d),1500,4,CI/CD (Wiz CLI) scans in the last 30 days
Metrics,{{CL_ASMP}},Cloud Advanced - Advanced ASM %,80%,4,Advanced ASM enabled (100) or not (0)
Metrics,{{CL_CP}},Cloud Advanced - Compute %,80%,4,Compute workload scanning coverage (slide-4 adoption)
Metrics,{{CL_DP}},Cloud Advanced - Data %,80%,4,DSPM data scanning coverage (slide-4 adoption)
Metrics,{{CL_NRVP}},Cloud Advanced - Non-OS/Registry/VM Image %,80%,4,Combined non-OS/registry/VM image scan coverage
